t,x,y,hope,joy,satisfaction,fear
1,2.0,11.0,0.31125,0.0,0.0,0.31125
2,2.1280155,10.977408,0.31,0.0,0.0,0.31
3,2.476664,10.802684,0.3075,0.0,0.0,0.3075
4,2.9415288,10.569716,0.31875,0.0,0.0,0.30625
5,3.1739612,10.453233,0.3175,0.0,0.0,0.305
6,3.1739612,10.453233,0.315,0.0,0.0,0.30375
7,2.8797219,10.197288,0.31375,0.0,0.0,0.30125
8,2.5854824,9.941342,0.3125,0.0,0.0,0.3
9,2.3889146,9.806788,0.31125,0.0,0.0,0.29875
10,2.2262685,9.684465,0.30875,0.0,0.0,0.2975
11,2.1799939,9.068942,0.3075,0.0,0.0,0.29625
12,2.1799939,8.550906,0.30625,0.0,0.0,0.29375
13,2.2109218,7.90781,0.305,0.0,0.0,0.2925
14,2.2109218,7.90781,0.30375,0.0,0.0,0.29125
15,2.2109218,7.90781,0.30125,0.0,0.0,0.29
16,2.2109218,7.90781,0.3,0.0,0.0,0.28875
17,2.2109218,7.6478233,0.29875,0.0,0.0,0.2875
18,2.2109218,7.6478233,0.2975,0.0,0.0,0.285
19,2.2109218,7.6478233,0.29625,0.0,0.0,0.28375
20,2.2109218,7.387836,0.29375,0.0,0.0,0.2825
21,2.4141273,7.219159,0.2925,0.0,0.0,0.28125
22,2.7973597,7.210929,0.29125,0.0,0.0,0.28
23,3.3147407,7.210929,0.29,0.0,0.0,0.27875
24,3.5301964,7.210929,0.28875,0.0,0.0,0.2775
25,3.5301964,7.210929,0.2875,0.0,0.0,0.27625
26,3.565887,6.822585,0.285,0.0,0.0,0.275
27,3.6134744,6.3047934,0.28375,0.0,0.0,0.2725
28,3.6610618,5.787001,0.2825,0.0,0.0,0.27125
29,3.7086492,5.2692094,0.28125,0.0,0.0,0.27
30,3.7562366,4.7514176,0.28,0.0,0.0,0.26875
31,3.8157208,4.104178,0.27875,0.0,0.0,0.2675
32,4.204793,4.077579,0.2775,0.0,0.0,0.26625
33,4.723556,4.0421143,0.27625,0.0,0.0,0.265
34,5.242319,4.0066495,0.27375,0.0,0.0,0.26375
35,5.761082,3.971185,0.2725,0.0,0.0,0.2625
36,6.2798457,3.9357202,0.27125,0.0,0.0,0.26125
37,6.9282994,3.8913891,0.27,0.0,0.0,0.26
38,7.4470625,3.8559244,0.26875,0.0,0.0,0.25875
39,7.4470625,3.8559244,0.2675,0.0,0.0,0.2575
40,7.4470625,3.8559244,0.26625,0.0,0.0,0.25625
41,7.7070494,3.8559244,0.265,0.0,0.0,0.255
42,7.697926,3.4660506,0.26375,0.0,0.0,0.25375
43,7.6857615,2.946219,0.2625,0.0,0.0,0.2525
44,7.724472,2.822123,0.26125,0.0,0.0,0.25125
45,8.23203,2.9350724,0.26,0.0,0.0,0.25
46,8.866478,3.0762594,0.25875,0.0,0.0,0.24875
47,9.500926,3.217446,0.2575,0.0,0.0,0.2475
48,10.135374,3.3586328,0.25625,0.0,0.0,0.24625
49,10.769821,3.4998198,0.255,0.0,0.0,0.245
50,10.829903,3.5855725,0.25375,0.0,0.0,0.24375
51,10.829903,3.5971467,0.2525,0.0,0.0,0.2425
52,10.829904,3.6991405,0.25125,0.0,0.0,0.24125
53,10.829902,3.6376767,0.25,0.0,0.0,0.24
54,10.829902,3.7118948,0.24875,0.0,0.0,0.23875
55,10.860941,3.8426445,0.2475,0.0,0.0,0.2375
56,11.040261,4.009913,0.24625,0.0,0.0,0.23625
57,11.339986,4.0200653,0.245,0.0,0.0,0.235
58,11.720461,4.0200186,0.24375,0.0,0.0,0.23375
59,12.3195915,4.0200186,0.2425,0.0,0.0,0.2325
60,12.631788,4.0200186,0.24125,0.0,0.0,0.23125
61,12.71623,4.0158467,0.24,0.0,0.0,0.23
62,12.212625,4.0200176,0.23875,0.0,0.0,0.22875
