t,x,y,hope,joy,satisfaction,fear
106,13.170095,10.343624,0.905,0.0,0.0,0.3675
107,13.170095,10.404638,0.9,0.0,0.0,0.36625
108,13.131561,10.782338,0.89625,0.0,0.0,0.36375
109,12.907854,11.25173,0.89125,0.0,0.0,0.3625
110,12.820052,11.577119,0.8875,0.0,0.0,0.36
111,12.6419325,11.800446,0.8825,0.0,0.0,0.35875
112,12.13851,11.820006,0.8775,0.0,0.0,0.3575
113,11.778425,11.8201,0.87375,0.0,0.0,0.355
114,11.778425,11.8201,0.86875,0.0,0.0,0.35375
115,11.778425,11.8201,0.865,0.0,0.0,0.35125
116,11.518438,11.8201,0.86125,0.0,0.0,0.35
117,11.166073,11.703522,0.85625,0.0,0.0,0.34875
118,10.792767,11.364584,0.8525,0.0,0.0,0.34625
119,10.612314,11.186259,0.8475,0.0,0.0,0.345
120,10.0973625,11.179995,0.84375,0.0,0.0,0.3425
121,9.708545,11.179995,0.84,0.0,0.0,0.34125
122,9.42787,11.179995,0.835,0.0,0.0,0.34
123,9.097979,11.495338,0.83125,0.0,0.0,0.3375
124,8.726828,12.028915,0.8275,0.0,0.0,0.33625
125,8.726828,12.028915,0.8225,0.0,0.0,0.335
126,8.726828,12.028915,0.81875,0.0,0.0,0.3325
127,8.9868145,12.028915,0.815,0.0,0.0,0.33125
128,8.931778,12.414993,0.81,0.0,0.0,0.33
129,8.876758,12.8005905,0.80625,0.0,0.0,0.3275
130,8.820014,13.315365,0.8025,0.0,0.0,0.32625
131,8.979922,13.618535,0.79875,0.0,0.0,0.325
132,9.018828,13.81235,0.795,0.0,0.0,0.3225
133,8.960961,13.794831,0.79,0.0,0.0,0.32125
134,8.819733,14.013115,0.78625,0.0,0.0,0.32
135,9.083683,14.300195,0.7825,0.0,0.0,0.31875
136,9.435617,14.682967,0.77875,0.0,0.0,0.31625
137,9.806523,14.803442,0.775,0.0,0.0,0.315
138,10.301064,14.964074,0.77125,0.0,0.0,0.31375
139,10.795604,15.124707,0.7675,0.0,0.0,0.3125
140,11.290144,15.28534,0.76375,0.0,0.0,0.31
141,11.649912,15.435843,0.76,0.0,0.0,0.30875
142,12.129603,15.636516,0.75625,0.0,0.0,0.3075
143,12.729218,15.887355,0.7525,0.0,0.0,0.30625
144,13.208909,16.088028,0.74875,0.0,0.0,0.30375
145,13.640484,16.195477,0.745,0.0,0.0,0.3025
146,13.825356,16.534424,0.74125,0.0,0.0,0.30125
147,13.8200035,16.924084,0.7375,0.0,0.0,0.3
148,13.8200035,16.924084,0.73375,0.0,0.0,0.29875
149,13.8200035,16.924084,0.73,0.0,0.0,0.29625
150,14.07999,16.924084,0.72625,0.0,0.0,0.295
151,14.415601,17.122705,0.7225,0.0,0.0,0.29375
152,14.617673,17.185886,0.71875,0.0,0.0,0.2925
153,14.848595,17.539429,0.715,0.0,0.0,0.29125
154,14.966932,18.045752,0.71125,0.0,0.0,0.29
155,15.056714,18.425257,0.70875,0.0,0.0,0.2875
156,15.176423,18.931263,0.705,0.0,0.0,0.28625
157,15.176423,18.931263,0.70125,0.0,0.0,0.285
158,15.176423,18.931263,0.6975,0.0,0.0,0.28375
159,14.916436,18.931263,0.69375,0.0,0.0,0.2825
160,14.584532,19.136017,0.69125,0.0,0.0,0.28125
161,14.141992,19.409021,0.6875,0.0,0.0,0.28
162,13.826808,19.63775,0.68375,0.0,0.0,0.2775
163,13.623137,19.809366,0.68,0.0,0.0,0.27625
164,13.109556,19.820143,0.6775,0.0,0.0,0.275
165,12.719855,19.820004,0.67375,0.0,0.0,0.27375
166,12.719855,19.820004,0.67,0.0,0.0,0.2725
167,12.719855,19.820004,0.6675,0.0,0.0,0.27125
168,12.4598675,19.820004,0.66375,0.0,0.0,0.27
169,12.267502,19.733526,0.66,0.0,0.0,0.26875
170,12.1799,19.495575,0.6575,0.0,0.0,0.2675
171,12.179992,19.234888,0.65375,0.0,0.0,0.26625
172,12.179992,18.978165,0.65,0.0,0.0,0.265
173,12.179992,18.978165,0.6475,0.0,0.0,0.26375
174,11.806484,18.866018,0.64375,0.0,0.0,0.26125
175,11.460364,18.820042,0.64125,0.0,0.0,0.26
176,11.182661,18.602053,0.6375,0.0,0.0,0.25875
